Date,Flight No.,"Type of
Flight","EU ETS
Annex I
exceptions",Aircraft Type,Reg No.,"Country of
dep.",Departure,"Airport of
dep.
(ICAO code)","Airport of
dep.
(IATA code)","Airport of dep
geog. boundaries","Country of
arrival",Arrival,"Airport of
arrival
(ICAO code)","Airport of
arrival
(IATA code)","Airport of arrival
geog. boundaries","Great circle
distance [km]","Payload
distance [km]",Block,"Remaining fuel
from previous
block on  [kg]","Fuel
uplift [kg]",Block Fuel [kg],Density [kg/L],"Fuel at
block-on [kg]",Fuel consumption [kg],PAX,"PAX
infant","PAX
child","PAX
male","PAX
female","Gross weight
of baggage [kg]","Gross weight
of freight [kg]",Payload [kg],kmT,emission CO2 [t CO2],emission ETS [t C02],emission Corsia [t C02]
01-19-2026,HFA602,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,342,0,1:01,1150,1350,2500,No,1790,710,0,0,0,0,,0,0,0,0,2.2436,2.2436,2.2436
01-21-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:48,1790,1910,3700,No,1810,1890,0,0,0,0,,0,0,0,0,5.9724,5.9724,5.9724
01-21-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:28,1810,2690,4500,No,2950,1550,0,0,0,0,,0,0,0,0,4.898,4.898,4.898
01-21-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:03,2950,750,3700,No,1770,1930,0,0,0,0,,0,0,0,0,6.0988,6.0988,6.0988
01-21-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:32,1770,1530,3300,No,1750,1550,0,0,0,0,,0,0,0,0,4.898,4.898,4.898
01-22-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:59,1750,1550,3300,No,1500,1800,0,0,0,0,,0,0,0,0,5.688,5.688,5.688
01-22-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:43,1500,1800,3300,No,1930,1370,0,0,0,0,,0,0,0,0,4.3292,4.3292,4.3292
01-23-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:59,1930,1270,3200,No,1420,1780,0,0,0,0,,0,0,0,0,5.6248,5.6248,5.6248
01-23-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:29,1420,1780,3200,No,1910,1290,0,0,0,0,,0,0,0,0,4.0764,4.0764,4.0764
01-24-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:48,1910,1590,3500,No,1680,1820,0,0,0,0,,0,0,0,0,5.7512,5.7512,5.7512
01-24-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:31,1680,1420,3100,No,1650,1450,0,0,0,0,,0,0,0,0,4.582,4.582,4.582
01-25-2026,HFA851,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,CYP,Paphos International (Pafos),LCPH,PFO,EU,318,0,0:59,1650,-20,1630,No,940,690,0,0,0,0,,0,0,0,0,2.1804,2.1804,2.1804
01-25-2026,HFA852,SCD,,AT76,4X-IHA,CYP,Paphos International (Pafos),LCPH,PFO,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,318,0,1:03,940,1360,2300,No,1700,600,0,0,0,0,,0,0,0,0,1.896,1.896,1.896
01-25-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:49,1700,1300,3000,No,1220,1780,0,0,0,0,,0,0,0,0,5.6248,5.6248,5.6248
01-25-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:38,1220,1780,3000,No,1460,1540,0,0,0,0,,0,0,0,0,4.8664,4.8664,4.8664
01-26-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:37,1460,1740,3200,No,1490,1710,0,0,0,0,,0,0,0,0,5.4036,5.4036,5.4036
01-26-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:40,1490,1810,3300,No,1770,1530,0,0,0,0,,0,0,0,0,4.8348,4.8348,4.8348
01-28-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:59,1770,1330,3100,No,1060,2040,0,0,0,0,,0,0,0,0,6.4464,6.4464,6.4464
01-28-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:26,1060,2140,3200,No,1810,1390,0,0,0,0,,0,0,0,0,4.3924,4.3924,4.3924
01-29-2026,HFA601,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,342,0,1:04,1810,-10,1800,No,1110,690,0,0,0,0,,0,0,0,0,2.1804,2.1804,2.1804
01-29-2026,HFA602,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,342,0,1:39,1110,1390,2500,No,1520,980,0,0,0,0,,0,0,0,0,3.0968,3.0968,3.0968
01-29-2026,HFA603,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,342,0,1:03,1520,380,1900,No,1170,730,0,0,0,0,,0,0,0,0,2.3068,2.3068,2.3068
01-29-2026,HFA604,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,342,0,1:06,1170,1230,2400,No,1530,870,0,0,0,0,,0,0,0,0,2.7492,2.7492,2.7492
01-30-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:06,1530,1870,3400,No,1370,2030,0,0,0,0,,0,0,0,0,6.4148,6.4148,6.4148
01-30-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:19,1370,2130,3500,No,2200,1300,0,0,0,0,,0,0,0,0,4.108,4.108,4.108
01-31-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:58,2200,1000,3200,No,1200,2000,0,0,0,0,,0,0,0,0,6.32,6.32,6.32
01-31-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:24,1200,2400,3600,No,2230,1370,0,0,0,0,,0,0,0,0,4.3292,4.3292,4.3292
02-02-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:55,2230,1070,3300,No,1440,1860,0,0,0,0,,0,0,0,0,5.8776,5.8776,5.8776
02-02-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,3:01,1440,1860,3300,No,1440,1860,0,0,0,0,,0,0,0,0,5.8776,5.8776,5.8776
02-04-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:58,1440,1660,3100,No,1220,1880,0,0,0,0,,0,0,0,0,5.9408,5.9408,5.9408
02-04-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:35,1220,2180,3400,No,1930,1470,0,0,0,0,,0,0,0,0,4.6452,4.6452,4.6452
02-05-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:02,1930,1270,3200,No,1240,1960,0,0,0,0,,0,0,0,0,6.1936,6.1936,6.1936
02-05-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:37,1240,1960,3200,No,1560,1640,0,0,0,0,,0,0,0,0,5.1824,5.1824,5.1824
02-06-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:02,1560,1440,3000,No,1000,2000,0,0,0,0,,0,0,0,0,6.32,6.32,6.32
02-06-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:22,1000,3000,4000,No,2640,1360,0,0,0,0,,0,0,0,0,4.2976,4.2976,4.2976
02-07-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:11,2640,760,3400,No,1290,2110,0,0,0,0,,0,0,0,0,6.6676,6.6676,6.6676
02-07-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:15,1290,2010,3300,No,2160,1140,0,0,0,0,,0,0,0,0,3.6024,3.6024,3.6024
02-08-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:04,2160,1240,3400,No,1330,2070,0,0,0,0,,0,0,0,0,6.5412,6.5412,6.5412
02-08-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:17,1330,1970,3300,No,1950,1350,0,0,0,0,,0,0,0,0,4.266,4.266,4.266
02-09-2026,HFA601,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,342,0,1:03,1950,-10,1940,No,1230,710,0,0,0,0,,0,0,0,0,2.2436,2.2436,2.2436
02-09-2026,HFA602,SCD,Both airfields outside EU,AT76,4X-IHA,ISR,Eilat/Ilan and Assaf Ramon Intl (Timna),LLER,ETM,NEU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,342,0,1:09,1230,1170,2400,No,1730,670,0,0,0,0,,0,0,0,0,2.1172,2.1172,2.1172
02-09-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:57,1730,1270,3000,No,990,2010,0,0,0,0,,0,0,0,0,6.3516,6.3516,6.3516
02-09-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:38,990,2110,3100,No,1720,1380,0,0,0,0,,0,0,0,0,4.3608,4.3608,4.3608
02-11-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:06,1720,1480,3200,No,1240,1960,0,0,0,0,,0,0,0,0,6.1936,6.1936,6.1936
02-11-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:30,1240,1760,3000,No,1670,1330,0,0,0,0,,0,0,0,0,4.2028,4.2028,4.2028
02-13-2026,HFA951,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,BGR,Sofia International,LBSF,SOF,EU,1499,0,3:48,1670,2330,4000,No,1800,2200,0,0,0,0,,0,0,0,0,6.952,6.952,6.952
02-13-2026,HFA952,SCD,,AT76,4X-IHA,BGR,Sofia International,LBSF,SOF,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1499,0,3:37,1800,2400,4200,No,2280,1920,0,0,0,0,,0,0,0,0,6.0672,6.0672,6.0672
02-14-2026,HFA703,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,3:12,2280,1020,3300,No,1320,1980,0,0,0,0,,0,0,0,0,6.2568,6.2568,6.2568
02-14-2026,HFA704,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:33,1320,1880,3200,No,1660,1540,0,0,0,0,,0,0,0,0,4.8664,4.8664,4.8664
02-15-2026,HFA701,SCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1157,0,2:47,1660,1240,2900,No,1060,1840,0,0,0,0,,0,0,0,0,5.8144,5.8144,5.8144
02-15-2026,HFA702,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,1157,0,2:38,1060,2240,3300,No,1770,1530,0,0,0,0,,0,0,0,0,4.8348,4.8348,4.8348
02-16-2026,HFA201,NSCD,,AT76,4X-IHA,ISR,Haifa/U Michaeli,LLHA,HFA,NEU,BGR,Sofia International,LBSF,SOF,EU,1499,0,3:27,1770,1230,3000,No,1070,1930,0,0,0,0,,0,0,0,0,6.0988,6.0988,6.0988
03-07-2026,HFA122,SCD,,AT76,4X-IHA,BGR,Sofia International,LBSF,SOF,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,1559,0,3:27,1070,2230,3300,No,1530,1770,0,0,0,0,,0,0,0,0,5.5932,5.5932,5.5932
03-07-2026,HFA121,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,CYP,Larnaka International,LCLK,LCA,EU,339,339,1:45,1530,270,1800,No,760,1040,0,0,0,0,,0,0,0,0,3.2864,3.2864,3.2864
03-08-2026,HFA132,SCD,,AT76,4X-IHA,CYP,Larnaka International,LCLK,LCA,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,339,339,1:14,760,1840,2600,No,1940,660,0,0,0,0,,0,0,0,0,2.0856,2.0856,2.0856
03-08-2026,HFA133,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1195,1195,3:10,1940,1260,3200,No,1300,1900,0,0,0,0,,0,0,0,0,6.004,6.004,6.004
03-08-2026,HFA134,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,1195,1195,2:46,1300,1700,3000,No,1440,1560,0,0,0,0,,0,0,0,0,4.9296,4.9296,4.9296
03-08-2026,HFA135,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,CYP,Larnaka International,LCLK,LCA,EU,339,339,1:35,1440,560,2000,No,1040,960,0,0,0,0,,0,0,0,0,3.0336,3.0336,3.0336
03-14-2026,HFA186,SCD,,AT76,4X-IHA,CYP,Larnaka International,LCLK,LCA,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,339,0,1:29,1040,1450,2490,No,1800,690,0,0,0,0,,0,0,0,0,2.1804,2.1804,2.1804
03-14-2026,HFA187,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1195,0,3:11,1800,1110,2910,No,940,1970,0,0,0,0,,0,0,0,0,6.2252,6.2252,6.2252
03-14-2026,HFA194,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,1195,0,2:39,940,2860,3800,No,2230,1570,0,0,0,0,,0,0,0,0,4.9612,4.9612,4.9612
03-14-2026,HFA195,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,CYP,Larnaka International,LCLK,LCA,EU,339,0,1:21,2230,0,2230,No,1520,710,0,0,0,0,,0,0,0,0,2.2436,2.2436,2.2436
03-15-2026,HFA196,SCD,,AT76,4X-IHA,CYP,Larnaka International,LCLK,LCA,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,339,0,1:11,1520,1080,2600,No,1960,640,0,0,0,0,,0,0,0,0,2.0224,2.0224,2.0224
03-15-2026,HFA197,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1195,0,3:03,1960,840,2800,No,980,1820,0,0,0,0,,0,0,0,0,5.7512,5.7512,5.7512
03-15-2026,HFA200,SCD,,AT76,4X-IHA,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,1195,0,2:32,980,2120,3100,No,1590,1510,0,0,0,0,,0,0,0,0,4.7716,4.7716,4.7716
03-15-2026,HFA201,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,CYP,Larnaka International,LCLK,LCA,EU,339,0,1:25,1590,410,2000,No,1200,800,0,0,0,0,,0,0,0,0,2.528,2.528,2.528
03-18-2026,HFA226,SCD,,AT76,4X-IHA,CYP,Larnaka International,LCLK,LCA,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,339,0,1:39,1200,1500,2700,No,1870,830,0,0,0,0,,0,0,0,0,2.6228,2.6228,2.6228
03-18-2026,HFA227,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,CYP,Larnaka International,LCLK,LCA,EU,339,0,1:11,1870,0,1870,No,1150,720,0,0,0,0,,0,0,0,0,2.2752,2.2752,2.2752
03-21-2026,HFA248,SCD,,AT76,4X-IHA,CYP,Larnaka International,LCLK,LCA,EU,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,339,339,1:19,1150,2350,3500,No,2880,620,0,0,0,0,,0,0,0,0,1.9592,1.9592,1.9592
03-21-2026,HFA249,SCD,,AT76,4X-IHA,ISR,Tel Aviv/Ben Gurion International,LLBG,TLV,NEU,GRC,Athens Intl Eleftherios Venizelos,LGAV,ATH,EU,1195,1195,3:00,2880,420,3300,No,1600,1700,0,0,0,0,,0,0,0,0,5.372,5.372,5.372
